ID_Reclamacao;Data;Empresa;Titulo;Descricao;Cidade_Estado;Status
RA249827706;09/06/2026;MegaEletro;Demora no estorno do cancelamento;Fiz o cancelamento da minha compra há mais de 15 dias e a empresa informou que o estorno seria feito em 7 dias úteis. Já liguei diversas vezes e só me enrolam. Quero meu dinheiro urgente.;Recife - PE;Respondida
RA553035110;07/03/2026;Farmácia Saúde Online;Demora no estorno do cancelamento;Fiz o cancelamento da minha compra há mais de 15 dias e a empresa informou que o estorno seria feito em 7 dias úteis. Já liguei diversas vezes e só me enrolam. Quero meu dinheiro urgente.;Maceió - AL;Não respondida
RA702632297;07/06/2026;MegaEletro;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 262,57 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 13561597.;Belo Horizonte - MG;Respondida
RA582334538;10/06/2026;Supermercado CompreBem;Voo cancelado sem aviso prévio;Cheguei no aeroporto e descobri que meu voo foi cancelado. Não recebi nenhum e-mail ou SMS. Tive que pagar hotel do meu bolso porque a companhia não deu nenhuma assistência.;Maceió - AL;Não resolvido
RA266944844;08/02/2026;ModaWeb;Cachorro passou mal com ração;Sempre compro a mesma ração, mas este último lote (lote 47295260) veio com cheiro estranho. Meu cachorro comeu, vomitou e tive gastos de R$ 222,85 no veterinário. Quero ser ressarcido.;São Paulo - SP;Respondida
RA507943839;13/07/2026;TechPrime Brasil;Voo cancelado sem aviso prévio;Cheguei no aeroporto e descobri que meu voo foi cancelado. Não recebi nenhum e-mail ou SMS. Tive que pagar hotel do meu bolso porque a companhia não deu nenhuma assistência.;Campinas - SP;Não respondida
RA966647391;30/05/2026;ComidaRápida App;Demora no estorno do cancelamento;Fiz o cancelamento da minha compra há mais de 15 dias e a empresa informou que o estorno seria feito em 7 dias úteis. Já liguei diversas vezes e só me enrolam. Quero meu dinheiro urgente.;Goiânia - GO;Em réplica
RA184611066;05/07/2026;Supermercado CompreBem;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 487,10 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 60806024.;Florianópolis - SC;Em réplica
RA856528252;17/06/2026;ModaWeb;Entregador jogou o pacote por cima do muro;Ao invés de buzinar e esperar alguém atender, o entregador simplesmente arremessou a caixa por cima do portão. O objeto de dentro espatifou. Tenho imagens da câmera de segurança.;Goiânia - GO;Em réplica
RA208449460;16/07/2026;MegaEletro;Internet caindo toda hora;Trabalho de home office e a internet cai o dia inteiro. Assinei o plano de 500 mega e não chega nem a metade disso. É um absurdo pagar caro por um serviço que não funciona direito.;Manaus - AM;Resolvido
RA497478786;25/06/2026;ModaWeb;Aplicativo travando e fechando sozinho;Fiz a atualização do aplicativo e agora não consigo mais acessar minha conta. Fica carregando infinitamente e depois fecha. Preciso pagar minhas contas e o app não funciona.;Florianópolis - SC;Resolvido
